BusinessAddress,BusinessName,BusinessPhone,BusinessStartDate,BusinessType,BusinessLicenseNumber,City,OwnerName,State,StreetDirection,StreetName,StreetNumber,StreetSuffix,Suite,Zip,LocationX,LocationY,Latitude,Longitude,Location
4532 MAGAZINE ST,OCTAVIA ART AND FILM,504-616-6202,2008-03-14,Art Dealers,102680731,NEW ORLEANS,PAMELA M BRYAN,LA,,MAGAZINE,4532,ST,,70115-1543,3670385.57,518674.04,29.92050622841199,-90.10360111114565,POINT (-90.10360111114565 29.92050622841199)
24740 MILL VALLEY WAY,ALLOHN DESIGNS,,2018-05-14,Special Events-Other (Vendor),105032410,CARSON,AGBENYA ALLOHN,CA,,MILL VALLEY,24740,WAY,,90745-6454,0.0,0.0,0,0,POINT (0 0)
2555 VALENCE ST,LOUANGER,(503) 867-6923,2025-02-01,Bed & Breakfast Inns,106124978,NEW ORLEANS,LOUANGER,LA,,VALENCE,2555,ST,,70115-6341,3669444.11,524212.5,29.935762975538836,-90.10638567129016,POINT (-90.10638567129016 29.935762975538836)
650 S ROCHEBLAVE ST,NOLA FROZEN TIME PHOTOGRAPHY,(504) 892-3220,2025-03-27,"Photography Studios, Portrait",106022854,NEW ORLEANS,NOLA FROZEN TIME PHOTOGRAPHY L,LA,S,ROCHEBLAVE,650,ST,,70119-7439,3674709.28,532565.42,29.958574674015836,-90.0894771646702,POINT (-90.0894771646702 29.958574674015836)
3317 MAGAZINE ST,A VARGAS BODY SHOP,504-891-2606,1980-02-03,"Automotive Body, Paint & Interior Repair & Maintenance",101117693,NEW ORLEANS,A VARGAS BODY SHOP INC,LA,,MAGAZINE,3317,ST,,70115-2410,3675193.08,519773.31,29.923386122945704,-90.08838832801506,POINT (-90.08838832801506 29.923386122945704)
5523 MAGAZINE ST,MISS SMARTY PANTS,504-891-6141,1999-04-01,Furniture Stores,102178548,NEW ORLEANS,"ONSTAD TRADING, LLC",LA,,MAGAZINE,5523,ST,,70115-3151,3666252.95,518906.55,29.921266864480376,-90.1166381204976,POINT (-90.1166381204976 29.921266864480376)
3900 TULANE AVE,TULANE HOTEL GROUP,504 224 1231,2017-07-26,Hotels(except Casino Hotels) & Motels,105025790,NEW ORLEANS,TULANE HOTEL GROUP INC,LA,,TULANE,3900,AVE,,70119-6939,3670049.18,535735.41,29.96742936746076,-90.1040851900775,POINT (-90.1040851900775 29.96742936746076)
601 POYDRAS ST,SODEXO-STIRLING,716-633-2222,2000-01-01,Limited Service Restaurants(no table service available),102237943,NEW ORLEANS,SODEXO OPERATIONS LLC,LA,,POYDRAS,601,ST,,70130,3680985.27,529454.93,29.949833055808185,-90.06976755963603,POINT (-90.06976755963603 29.949833055808185)
701 POYDRAS ST,,(504) 982-4893,2015-07-23,"Personal Services, Other",105006712,NEW ORLEANS,JOSEPH'S SHOE SHINE,LA,,POYDRAS,701,ST,,70130,3680633.97,529516.91,29.95001412730259,-90.07087461894584,POINT (-90.07087461894584 29.95001412730259)
10080 MORRISON RD,SENTINO EARLY CHILDHOOD ACADEMY TOO,,2009-10-15,Child Day Care Services,102759541,NEW ORLEANS,SENTINO EARLY CHILDHOOD ACADEM,LA,,MORRISON,10080,RD,,70127-1821,3709482.39,563757.44,30.04325708183368,-89.97850925696454,POINT (-89.97850925696454 30.04325708183368)
159 TRAFALGAR SQ,BEARISADOG,(985) 445-9529,2025-04-01,Special Events-Other (Vendor),106054972,SLIDELL,BEARISADOG,LA,,TRAFALGAR,159,SQ,,70461-3507,0.0,0.0,0,0,POINT (0 0)
